file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderArtifactEntry.java,demo.order.OrderArtifactEntry,class,2,3,1,2,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicRelation_order_total.java,mtaas.generated.order_total.MetamorphicRelation_order_total,class,5,6,1,5,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,4,8,1,0,1,0,0,0,1,3,0,3,0,0,0,0,9,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\PermuteDataGenerator.java,demo.convexhull.generator.PermuteDataGenerator,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\scale\MR_Scale_Output.java,demo.convexhull.mr.scale.MR_Scale_Output,class,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,2,1,1,0,1,0,0,0,0,12,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\Order.java,demo.order.Order,class,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicRelation_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicRelation_textnorm_duplicate,class,6,7,1,6,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,4,8,1,0,1,0,0,0,1,3,0,3,0,0,0,0,9,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderDataGenerator.java,demo.order.OrderDataGenerator,class,3,4,1,3,2,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,0,0,0,1,2,2,1,2,1,0,0,0,11,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,class,4,7,3,4,7,1,0,10,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,22,4,2,1,0,0,17,4,7,3,7,3,0,0,0,32,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextInputMetamorphosisDuplicate.java,demo.textnorm.TextInputMetamorphosisDuplicate,class,2,4,2,2,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\ScaleDataGenerator.java,demo.convexhull.generator.ScaleDataGenerator,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9,17,0
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\TranslateDataGenerator.java,demo.convexhull.generator.TranslateDataGenerator,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9,17,0
