file,class,method,variable,usage
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,setMinTokensPerSentence/1[int],minTokensPerSentence,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,setSeed/1[long],seed,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,setSentences/1[int],sentences,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,setMaxTokensPerSentence/1[int],maxTokensPerSentence,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\translate\MR_Translate_Input.java,demo.convexhull.mr.translate.MR_Translate_Input,apply/1[java.lang.Object],in,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\translate\MR_Translate_Input.java,demo.convexhull.mr.translate.MR_Translate_Input,apply/1[java.lang.Object],pts,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\permute\MR_Permute_Output.java,demo.convexhull.mr.permute.MR_Permute_Output,transform/1[java.lang.Object],baseOut,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,"cross/3[demo.convexhull.Point2D,demo.convexhull.Point2D,demo.convexhull.Point2D]",a,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,"cross/3[demo.convexhull.Point2D,demo.convexhull.Point2D,demo.convexhull.Point2D]",b,4
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,"cross/3[demo.convexhull.Point2D,demo.convexhull.Point2D,demo.convexhull.Point2D]",c,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,"cross/3[demo.convexhull.Point2D,demo.convexhull.Point2D,demo.convexhull.Point2D]",y1,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,"cross/3[demo.convexhull.Point2D,demo.convexhull.Point2D,demo.convexhull.Point2D]",x1,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,"cross/3[demo.convexhull.Point2D,demo.convexhull.Point2D,demo.convexhull.Point2D]",y2,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,"cross/3[demo.convexhull.Point2D,demo.convexhull.Point2D,demo.convexhull.Point2D]",x2,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,compute/1[java.util.List<demo.convexhull.Point2D>],p,4
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,compute/1[java.util.List<demo.convexhull.Point2D>],pt,5
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,compute/1[java.util.List<demo.convexhull.Point2D>],lower,12
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,compute/1[java.util.List<demo.convexhull.Point2D>],upper,12
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,compute/1[java.util.List<demo.convexhull.Point2D>],i,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,compute/1[java.util.List<demo.convexhull.Point2D>],hull,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\ConvexHull.java,demo.convexhull.ConvexHull,compute/1[java.util.List<demo.convexhull.Point2D>],pts,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\test\java\demo\textnorm\TextNormSmokeTest.java,demo.textnorm.TextNormSmokeTest,relationRuns/0,out2,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\test\java\demo\textnorm\TextNormSmokeTest.java,demo.textnorm.TextNormSmokeTest,relationRuns/0,input,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\test\java\demo\textnorm\TextNormSmokeTest.java,demo.textnorm.TextNormSmokeTest,relationRuns/0,out1,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\test\java\demo\textnorm\TextNormSmokeTest.java,demo.textnorm.TextNormSmokeTest,relationRuns/0,model,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicFunction_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicFunction_textnorm_duplicate,run/1[demo.textnorm.TextGenModel],input,1
